"","Country","year","sex","rate","mean_climate"
"1","Albania",1987,"male",3.45e-05,12.9965833333333
"2","Albania",1987,"female",1.9e-05,12.9965833333333
"3","Albania",1988,"male",2.89e-05,13.0440833333333
"4","Albania",1988,"female",1.64e-05,13.0440833333333
"5","Albania",1989,"male",3.68e-05,12.8038333333333
"6","Albania",1989,"female",1.1e-05,12.8038333333333
"7","Albania",1992,"female",9.84e-06,13.0846666666667
"8","Albania",1992,"male",2.36e-05,13.0846666666667
"9","Albania",1993,"female",1.89e-05,13.1225833333333
"10","Albania",1993,"male",3.33e-05,13.1225833333333
"11","Albania",1994,"male",2.49e-05,14.0996666666667
"12","Albania",1994,"female",1.04e-05,14.0996666666667
"13","Albania",1995,"male",3.78e-05,12.7820833333333
"14","Albania",1995,"female",2.31e-05,12.7820833333333
"15","Albania",1996,"female",2.61e-05,12.7365
"16","Albania",1996,"male",3.46e-05,12.7365
"17","Albania",1997,"female",3.4e-05,12.9009166666667
"18","Albania",1997,"male",8.15e-05,12.9009166666667
"19","Albania",1998,"male",6.51e-05,13.31125
"20","Albania",1998,"female",3.77e-05,13.31125
"21","Albania",1999,"male",6.12e-05,13.65375
"22","Albania",1999,"female",3.11e-05,13.65375
"23","Albania",2000,"male",2.67e-05,13.7465833333333
"24","Albania",2000,"female",1.17e-05,13.7465833333333
"25","Albania",2001,"female",2.48e-05,13.6904166666667
"26","Albania",2001,"male",6.04e-05,13.6904166666667
"27","Albania",2002,"male",6.5e-05,13.5599166666667
"28","Albania",2002,"female",2.96e-05,13.5599166666667
"29","Albania",2003,"male",5.17e-05,13.6265833333333
"30","Albania",2003,"female",3.56e-05,13.6265833333333
"31","Albania",2004,"male",6.24e-05,13.2581666666667
"32","Albania",2004,"female",3.94e-05,13.2581666666667
"33","Albania",2005,"male",0,12.7470833333333
"34","Albania",2005,"female",0,12.7470833333333
"35","Albania",2006,"female",0,12.9769166666667
"36","Albania",2006,"male",0,12.9769166666667
"37","Albania",2007,"female",3.38e-05,13.8905
"38","Albania",2007,"male",5.59e-05,13.8905
"39","Albania",2008,"female",4.41e-05,13.9551666666667
"40","Albania",2008,"male",7.21e-05,13.9551666666667
"41","Albania",2009,"female",0,13.84425
"42","Albania",2009,"male",0,13.84425
"43","Albania",2010,"female",2.55e-05,13.7754166666667
"44","Albania",2010,"male",4.47e-05,13.7754166666667
"45","Argentina",1985,"female",3.93e-05,15.32625
"46","Argentina",1985,"male",0.000108,15.32625
"47","Argentina",1986,"female",4.66e-05,15.33475
"48","Argentina",1986,"male",0.000122,15.33475
"49","Argentina",1987,"male",0.000117,15.1875
"50","Argentina",1987,"female",4.92e-05,15.1875
"51","Argentina",1988,"male",0.000121,14.8363333333333
"52","Argentina",1988,"female",4.64e-05,14.8363333333333
"53","Argentina",1989,"male",0.000116,15.543
"54","Argentina",1989,"female",4.17e-05,15.543
"55","Argentina",1990,"female",4.04e-05,15.1550833333333
"56","Argentina",1990,"male",0.000108,15.1550833333333
"57","Argentina",1991,"male",1e-04,15.0975833333333
"58","Argentina",1991,"female",3.3e-05,15.0975833333333
"59","Argentina",1992,"male",0.000114,14.7391666666667
"60","Argentina",1992,"female",3.28e-05,14.7391666666667
"61","Argentina",1993,"female",3.16e-05,15.0986666666667
"62","Argentina",1993,"male",0.000117,15.0986666666667
"63","Argentina",1994,"female",3.23e-05,15.5786666666667
"64","Argentina",1994,"male",0.000115,15.5786666666667
"65","Argentina",1995,"female",3.14e-05,15.1498333333333
"66","Argentina",1995,"male",0.000111,15.1498333333333
"67","Argentina",1996,"female",3.27e-05,15.2115833333333
"68","Argentina",1996,"male",0.000109,15.2115833333333
"69","Argentina",1997,"female",3.25e-05,15.6206666666667
"70","Argentina",1997,"male",0.000104,15.6206666666667
"71","Argentina",1998,"male",0.000114,15.26175
"72","Argentina",1998,"female",3.13e-05,15.26175
"73","Argentina",1999,"male",0.000119,15.0649166666667
"74","Argentina",1999,"female",2.9e-05,15.0649166666667
"75","Argentina",2000,"male",0.000136,14.7505
"76","Argentina",2000,"female",3.19e-05,14.7505
"77","Argentina",2001,"male",0.000148,15.3704166666667
"78","Argentina",2001,"female",3.88e-05,15.3704166666667
"79","Argentina",2002,"female",3.98e-05,15.18375
"80","Argentina",2002,"male",0.000147,15.18375
"81","Argentina",2003,"female",3.83e-05,15.5183333333333
"82","Argentina",2003,"male",0.000154,15.5183333333333
"83","Argentina",2004,"female",3.63e-05,15.4421666666667
"84","Argentina",2004,"male",0.000144,15.4421666666667
"85","Argentina",2005,"male",0.000138,15.1128333333333
"86","Argentina",2005,"female",3.64e-05,15.1128333333333
"87","Argentina",2006,"male",0.000143,15.5610833333333
"88","Argentina",2006,"female",3.32e-05,15.5610833333333
"89","Argentina",2007,"female",3.22e-05,14.6280833333333
"90","Argentina",2007,"male",0.000133,14.6280833333333
"91","Argentina",2008,"female",3.24e-05,15.476
"92","Argentina",2008,"male",0.000137,15.476
"93","Argentina",2009,"female",3.06e-05,15.5344166666667
"94","Argentina",2009,"male",0.000127,15.5344166666667
"95","Argentina",2010,"female",2.94e-05,15.0788333333333
"96","Argentina",2010,"male",0.00013,15.0788333333333
"97","Argentina",2011,"male",0.000126,15.3396666666667
"98","Argentina",2011,"female",2.99e-05,15.3396666666667
"99","Argentina",2012,"male",0.00014,15.689
"100","Argentina",2012,"female",3.19e-05,15.689
"101","Argentina",2013,"male",0.000127,14.457125
"102","Argentina",2013,"female",2.96e-05,14.457125
"103","Armenia",1990,"male",4.39e-05,9.25808333333333
"104","Armenia",1990,"female",1.9e-05,9.25808333333333
"105","Armenia",1991,"female",1.55e-05,9.37258333333333
"106","Armenia",1991,"male",3.47e-05,9.37258333333333
"107","Armenia",1992,"female",1.11e-05,7.61466666666667
"108","Armenia",1992,"male",4.02e-05,7.61466666666667
"109","Armenia",1993,"female",2e-05,7.76966666666667
"110","Armenia",1993,"male",4.38e-05,7.76966666666667
"111","Armenia",1994,"female",2.04e-05,9.02125
"112","Armenia",1994,"male",4.64e-05,9.02125
"113","Armenia",1995,"female",1.96e-05,9.89216666666667
"114","Armenia",1995,"male",5.73e-05,9.89216666666667
"115","Armenia",1996,"male",3.75e-05,9.81916666666667
"116","Armenia",1996,"female",1.33e-05,9.81916666666667
"117","Armenia",1997,"female",8.21e-06,9.24633333333333
"118","Armenia",1997,"male",3.65e-05,9.24633333333333
"119","Armenia",1998,"male",2.8e-05,10.4484166666667
"120","Armenia",1998,"female",9.78e-06,10.4484166666667
"121","Armenia",1999,"female",9.73e-06,10.331
"122","Armenia",1999,"male",2.83e-05,10.331
"123","Armenia",2000,"male",2.7e-05,9.91816666666667
"124","Armenia",2000,"female",7.51e-06,9.91816666666667
"125","Armenia",2001,"female",6.43e-06,10.4434166666667
"126","Armenia",2001,"male",2.75e-05,10.4434166666667
"127","Armenia",2002,"male",4.31e-05,9.605
"128","Armenia",2002,"female",7.61e-06,9.605
"129","Armenia",2003,"male",3.46e-05,9.42308333333333
"130","Armenia",2003,"female",5.7e-06,9.42308333333333
"131","Armenia",2006,"female",1.15e-05,10.0535
"132","Armenia",2006,"male",4.74e-05,10.0535
"133","Armenia",2007,"female",1.37e-05,9.53525
"134","Armenia",2007,"male",4.01e-05,9.53525
"135","Armenia",2008,"female",1.2e-05,9.70675
"136","Armenia",2008,"male",3e-05,9.70675
"137","Armenia",2009,"male",3.45e-05,9.84208333333333
"138","Armenia",2009,"female",6.93e-06,9.84208333333333
"139","Armenia",2010,"male",4.36e-05,11.5095
"140","Armenia",2010,"female",1.32e-05,11.5095
"141","Armenia",2011,"female",1.12e-05,9.136
"142","Armenia",2011,"male",4.13e-05,9.136
"143","Armenia",2012,"male",4.41e-05,10.35075
"144","Armenia",2012,"female",1.36e-05,10.35075
"145","Armenia",2013,"male",3.22e-05,11.34375
"146","Armenia",2013,"female",1.63e-05,11.34375
"147","Aruba",1995,"female",0,28.7364166666667
"148","Aruba",1995,"male",0.000221,28.7364166666667
"149","Aruba",1999,"male",0.000228,28.1979166666667
"150","Aruba",1999,"female",0,28.1979166666667
"151","Aruba",2000,"male",0.000149,28.128
"152","Aruba",2000,"female",9.17e-05,28.128
"153","Aruba",2001,"male",9.72e-05,28.6309166666667
"154","Aruba",2001,"female",0,28.6309166666667
"155","Aruba",2002,"female",0,28.84925
"156","Aruba",2002,"male",0.000214,28.84925
"157","Aruba",2003,"female",0,28.8496666666667
"158","Aruba",2003,"male",4.65e-05,28.8496666666667
"159","Aruba",2004,"male",0.00016,28.506
"160","Aruba",2004,"female",2.06e-05,28.506
"161","Aruba",2005,"female",0.000101,28.77225
"162","Aruba",2005,"male",0.000113,28.77225
