"","year","Country","sex","age","rate","mean_climate"
"1",1985,"Argentina","female","75+ years",7.64,15.32625
"2",1985,"Argentina","female","55-74 years",9.11,15.32625
"3",1985,"Argentina","female","25-34 years",2.97,15.32625
"4",1985,"Argentina","female","5-14 years",0.372,15.32625
"5",1985,"Argentina","female","35-54 years",4.23,15.32625
"6",1985,"Argentina","female","15-24 years",2.93,15.32625
"7",1985,"Australia","female","75+ years",9.4,22.0434166666667
"8",1985,"Australia","female","25-34 years",5.02,22.0434166666667
"9",1985,"Australia","female","35-54 years",7.8,22.0434166666667
"10",1985,"Australia","female","15-24 years",5.29,22.0434166666667
"11",1985,"Australia","female","55-74 years",8.47,22.0434166666667
"12",1985,"Australia","female","5-14 years",0.325,22.0434166666667
"13",1985,"Austria","female","35-54 years",19.9,5.923
"14",1985,"Austria","female","15-24 years",7.89,5.923
"15",1985,"Austria","female","75+ years",32.4,5.923
"16",1985,"Austria","female","55-74 years",26.1,5.923
"17",1985,"Austria","female","5-14 years",0.441,5.923
"18",1985,"Austria","female","25-34 years",10.3,5.923
"19",1985,"Bahamas","female","75+ years",0,25.4735
"20",1985,"Bahamas","female","35-54 years",0,25.4735
"21",1985,"Bahamas","female","5-14 years",0,25.4735
"22",1985,"Bahamas","female","25-34 years",0,25.4735
"23",1985,"Bahamas","female","55-74 years",0,25.4735
"24",1985,"Bahamas","female","15-24 years",0,25.4735
"25",1985,"Bahrain","female","75+ years",0,26.2021666666667
"26",1985,"Bahrain","female","55-74 years",0,26.2021666666667
"27",1985,"Bahrain","female","5-14 years",0,26.2021666666667
"28",1985,"Bahrain","female","15-24 years",0,26.2021666666667
"29",1985,"Bahrain","female","25-34 years",0,26.2021666666667
"30",1985,"Bahrain","female","35-54 years",3.72,26.2021666666667
"31",1985,"Barbados","female","5-14 years",0,26.5525833333333
"32",1985,"Barbados","female","35-54 years",0,26.5525833333333
"33",1985,"Barbados","female","55-74 years",0,26.5525833333333
"34",1985,"Barbados","female","75+ years",0,26.5525833333333
"35",1985,"Barbados","female","15-24 years",0,26.5525833333333
"36",1985,"Barbados","female","25-34 years",9.09,26.5525833333333
"37",1985,"Belgium","female","55-74 years",26.8,8.7955
"38",1985,"Belgium","female","35-54 years",20.7,8.7955
"39",1985,"Belgium","female","15-24 years",4.43,8.7955
"40",1985,"Belgium","female","75+ years",29,8.7955
"41",1985,"Belgium","female","5-14 years",0.162,8.7955
"42",1985,"Belgium","female","25-34 years",10.5,8.7955
"43",1985,"Brazil","female","5-14 years",0.262,24.9656666666667
"44",1985,"Brazil","female","15-24 years",2.04,24.9656666666667
"45",1985,"Brazil","female","25-34 years",2.49,24.9656666666667
"46",1985,"Brazil","female","75+ years",3.24,24.9656666666667
"47",1985,"Brazil","female","35-54 years",2.43,24.9656666666667
"48",1985,"Brazil","female","55-74 years",2.62,24.9656666666667
"49",1985,"Bulgaria","female","25-34 years",5.81,10.2705833333333
"50",1985,"Bulgaria","female","35-54 years",7.41,10.2705833333333
"51",1985,"Bulgaria","female","15-24 years",5.38,10.2705833333333
"52",1985,"Bulgaria","female","5-14 years",0.316,10.2705833333333
"53",1985,"Bulgaria","female","75+ years",42.2,10.2705833333333
"54",1985,"Bulgaria","female","55-74 years",17.6,10.2705833333333
"55",1985,"Canada","female","25-34 years",6.56,-4.90116666666667
"56",1985,"Canada","female","75+ years",5.29,-4.90116666666667
"57",1985,"Canada","female","15-24 years",3.97,-4.90116666666667
"58",1985,"Canada","female","55-74 years",7.93,-4.90116666666667
"59",1985,"Canada","female","35-54 years",8.43,-4.90116666666667
"60",1985,"Canada","female","5-14 years",0.286,-4.90116666666667
"61",1985,"Chile","female","35-54 years",3.19,10.0399166666667
"62",1985,"Chile","female","55-74 years",3.31,10.0399166666667
"63",1985,"Chile","female","15-24 years",2.22,10.0399166666667
"64",1985,"Chile","female","75+ years",2.12,10.0399166666667
"65",1985,"Chile","female","25-34 years",1.98,10.0399166666667
"66",1985,"Chile","female","5-14 years",0.0831,10.0399166666667
"67",1985,"Colombia","female","35-54 years",1.29,25.0126666666667
"68",1985,"Colombia","female","25-34 years",1.98,25.0126666666667
"69",1985,"Colombia","female","15-24 years",3.73,25.0126666666667
"70",1985,"Colombia","female","55-74 years",1.04,25.0126666666667
"71",1985,"Colombia","female","5-14 years",0.298,25.0126666666667
"72",1985,"Colombia","female","75+ years",1.72,25.0126666666667
"73",1985,"Costa Rica","female","15-24 years",2.91,25.7485
"74",1985,"Costa Rica","female","35-54 years",1.39,25.7485
"75",1985,"Costa Rica","female","25-34 years",1.4,25.7485
"76",1985,"Costa Rica","female","75+ years",0,25.7485
"77",1985,"Costa Rica","female","5-14 years",0.346,25.7485
"78",1985,"Costa Rica","female","55-74 years",1.03,25.7485
"79",1985,"Dominica","female","35-54 years",0,26.27475
"80",1985,"Dominica","female","55-74 years",0,26.27475
"81",1985,"Dominica","female","25-34 years",0,26.27475
"82",1985,"Dominica","female","5-14 years",0,26.27475
"83",1985,"Dominica","female","75+ years",0,26.27475
"84",1985,"Dominica","female","15-24 years",0,26.27475
"85",1985,"Ecuador","female","35-54 years",2.17,21.83825
"86",1985,"Ecuador","female","25-34 years",5.16,21.83825
"87",1985,"Ecuador","female","75+ years",4.08,21.83825
"88",1985,"Ecuador","female","5-14 years",0.317,21.83825
"89",1985,"Ecuador","female","55-74 years",1.32,21.83825
"90",1985,"Ecuador","female","15-24 years",6.46,21.83825
"91",1985,"France","female","5-14 years",0.165,12.628
