COUNTRY,long,lat
Albania,20.168331,41.153332
Argentina,-63.616672,-38.416097
Armenia,45.038189,40.069099
Aruba,-69.968338,12.52111
Australia,133.775136,-25.274398
Austria,14.550072,47.516231
Azerbaijan,47.576927,40.143105
Bahamas,-77.39628,25.03428
Bahrain,50.5577,26.0667
Barbados,-59.543198,13.193887
Belarus,27.953389,53.709807
Belgium,4.469936,50.503887
Belize,-88.49765,17.189877
Brazil,-51.92528,-14.235004
Bulgaria,25.48583,42.733883
Canada,-106.346771,56.130366
Chile,-71.542969,-35.675147
Colombia,-74.297333,4.570868
Costa Rica,-83.753428,9.748917
Croatia,15.2000001,45.1
Cuba,-77.781167,21.521757
Cyprus,33.429859,35.126413
Czech Republic,15.472962,49.817492
Denmark,9.501785,56.26392
Dominica,-61.370976,15.414999
Ecuador,-78.183406,-1.831239
El Salvador,-88.89653,13.794185
Estonia,25.0136071,58.595272
Fiji,178.065032,-17.713371
Finland,25.7481511,61.92411
France,2.213749,46.227638
Georgia,43.356892,42.315407
Germany,10.451526,51.165691
Greece,21.824312,39.074208
Grenada,-61.679,12.1165
Guatemala,-90.230759,15.783471
Guyana,-58.93018,4.860416
Hungary,19.5033041,47.162494
Iceland,-19.020835,64.963051
Ireland,-7.6920536,53.1423672
Israel,34.851612,31.046051
Italy,12.56738,41.87194
Jamaica,-77.297508,18.109581
Japan,138.252924,36.204824
Kazakhstan,66.923684,48.019573
Kiribati,-168.734039,-3.370417
Kuwait,47.481766,29.31166
Kyrgyzstan,74.766098,41.20438
Latvia,24.603189,56.879635
Lithuania,23.881275,55.169438
Luxembourg,6.129583,49.815273
Macau,113.543873,22.198745
Malta,14.375416,35.937496
Mauritius,57.552152,-20.348404
Mexico,-102.552784,23.634501
Montenegro,19.37439,42.708678
Netherlands,5.291266,52.132633
New Zealand,174.885971,-40.900557
Nicaragua,-85.207229,12.865416
Norway,8.468946,60.472024
Oman,55.975413,21.4735329
Panama,-80.782127,8.537981
Paraguay,-58.443832,-23.442503
Philippines,121.774017,12.879721
Poland,19.145136,51.919438
Portugal,-8.224454,39.399872
Puerto Rico,-66.590149,18.220833
Qatar,51.183884,25.354826
Romania,24.96676,45.943161
Saint Lucia,-60.978893,13.909444
San Marino,12.457777,43.94236
Serbia,21.005859,44.016521
Seychelles,55.491977,-4.679574
Singapore,103.819836,1.352083
Slovakia,19.699024,48.669026
Slovenia,14.995463,46.151241
South Africa,22.937506,-30.559482
Spain,-3.74922,40.463667
Sri Lanka,80.771797,7.873054
Suriname,-56.027783,3.919305
Sweden,18.643501,60.128161
Switzerland,8.227512,46.818188
Thailand,100.992541,15.870032
Turkey,35.243322,38.963745
Turkmenistan,59.556278,38.969719
Ukraine,31.1655799,48.379433
United Arab Emirates,53.847818,23.424076
United Kingdom,-3.435973,55.378051
United States,-95.712891,37.09024
Uruguay,-55.765835,-32.522779
Uzbekistan,64.585262,41.377491
